tax:product_type,sku,post_title,post_status,visibility,tax_status,tax_class,stock_status,backorders,weight,length,width,height,regular_price,tax:product_cat,tax:product_shipping_class,parent_sku,upsell_skus,crosssell_skus,menu_order,Attribute 1 Name,Attribute 1 Value(s),Attribute 1 Data,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value(s),Attribute 2 Data,Attribute 2 Global,Attribute 3 Name,Attribute 3 Value(s),Attribute 3 Data,Attribute 3 Global,Attribute 4 Name,Attribute 4 Value(s),Attribute 4 Data,Attribute 4 Global,Attribute 5 Name,Attribute 5 Value(s),Attribute 5 Data,Attribute 5 Global
variation,TT-15-YEOCLI-360ML,,publish,hidden,taxable,,outofstock,,0.76,,,,1610.00,,,TT-15-YEOCLI,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,360 ml,0|1|1,0,,,,
variable,TT-15-YEOCLI,Yellow Ochre Light,publish,visible,taxable,,,,,,,,,Óleos Profesionales > Amarillos > Óxidos - Ochres - Siennas y Tierras,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-15-YEOCPA-1KG,,publish,hidden,taxable,,outofstock,,1.00,,,,7675.00,,,TT-15-YEOCPA,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-15-YEOCPA-110ML,,publish,hidden,taxable,,outofstock,,0.23,,,,530.00,,,TT-15-YEOCPA,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,110 ml,0|1|1,0,,,,
variation,TT-15-YEOCPA-25ML,,publish,hidden,taxable,,instock,,0.05,,,,155.00,,,TT-15-YEOCPA,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,25 ml,0|1|1,0,,,,
variation,TT-15-YEOCPA-360ML,,publish,hidden,taxable,,outofstock,,0.76,,,,1600.00,,,TT-15-YEOCPA,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,360 ml,0|1|1,0,,,,
variable,TT-15-YEOCPA,Yellow Ochre Paja,publish,visible,taxable,,,,,,,,,Óleos Profesionales > Amarillos > Óxidos - Ochres - Siennas y Tierras,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-15-YEOXTR-1KG,,publish,hidden,taxable,,outofstock,,1.00,,,,11485.00,,,TT-15-YEOXTR,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-15-YEOXTR-110ML,,publish,hidden,taxable,,outofstock,,0.29,,,,625.00,,,TT-15-YEOXTR,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,110 ml,0|1|1,0,,,,
variation,TT-15-YEOXTR-25ML,,publish,hidden,taxable,,instock,,0.07,,,,180.00,,,TT-15-YEOXTR,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,25 ml,0|1|1,0,,,,
